ID,PDB_file,image,Fasta,Uniprot_id
SEQSTR376,,,,P00441
SEQSTR377,,,,P00441
SEQSTR378,,,,P00441
SEQSTR379,,,,P00441
SEQSTR380,,,,P00441
SEQSTR381,,,,P00441
SEQSTR382,,,,P00441
SEQSTR383,,,,P00441
SEQSTR384,,,,P00441
SEQSTR385,,,,P00441
SEQSTR386,,,,P00441
SEQSTR387,,,,P00441
SEQSTR388,,,,P00441
SEQSTR389,,,,P00441
SEQSTR390,,,,P00441
SEQSTR391,,,,P00441
SEQSTR392,,,,P00441
SEQSTR393,,,,P00441
SEQSTR394,,,,P00441
SEQSTR395,,,,P00441
SEQSTR396,,,,P00441
SEQSTR397,,,,P00441
SEQSTR398,,,,P00441
SEQSTR399,,,,P00441
SEQSTR400,,,,P00441
SEQSTR401,,,,P00441
SEQSTR402,,,,P00441
SEQSTR403,,,,P00441
SEQSTR404,,,,P00441
SEQSTR405,,,,P00441
SEQSTR406,,,,P00441
SEQSTR407,,,,P00441
SEQSTR408,,,,P00441
SEQSTR409,,,,P00441
SEQSTR410,,,,P00441
SEQSTR411,,,,P00441
SEQSTR412,,,,P00441
SEQSTR413,,,,P00441
SEQSTR414,,,,P00441
SEQSTR415,,,,P00441
SEQSTR416,,,,P00441
SEQSTR417,,,,P00441
SEQSTR418,,,,P00441
SEQSTR419,,,,P00441
SEQSTR420,,,,P00441
SEQSTR421,,,,P00441
SEQSTR422,,,,P00441
SEQSTR423,,,,P00441
SEQSTR424,,,,P00441
SEQSTR425,,,,P00441
SEQSTR426,,,,P00441
SEQSTR427,,,,P00441
SEQSTR428,,,,P00441
SEQSTR429,,,,P00441
SEQSTR430,,,,P00441
SEQSTR431,,,,P00441
SEQSTR432,,,,P00441
SEQSTR433,,,,P00441
SEQSTR434,,,,P00441
SEQSTR435,,,,P00441
SEQSTR436,,,,P00441
SEQSTR437,,,,P00441
SEQSTR438,,,,P00441
SEQSTR439,,,,P00441
SEQSTR440,,,,P00441
SEQSTR441,,,,P00441
SEQSTR442,,,,P00441
SEQSTR443,,,,P00441
SEQSTR444,,,,P00441
SEQSTR445,,,,P00441
SEQSTR446,,,,P00441
SEQSTR447,,,,P00441
SEQSTR448,,,,P00441
SEQSTR449,,,,P00441
SEQSTR450,,,,P00441
SEQSTR451,,,,P00441
SEQSTR452,,,,P00441
SEQSTR453,,,,P00441
SEQSTR454,,,,P00441
SEQSTR455,,,,P00441
SEQSTR456,,,,P00441
