ProteinsSNPsClinicalCases_id,ClinicalCases_id,SNPsDescription_id,WildTypeProteinDescription_id
PSNPCC302,305,SNPD302,WTPTN302
PSNPCC303,306,SNPD303,WTPTN303
PSNPCC304,307,SNPD304,WTPTN304
PSNPCC305,308,SNPD305,WTPTN305
PSNPCC306,309,SNPD306,WTPTN306
PSNPCC307,310,SNPD307,WTPTN307
PSNPCC308,284,SNPD308,WTPTN308
PSNPCC309,285,SNPD309,WTPTN309
PSNPCC310,286,SNPD310,WTPTN310
PSNPCC311,311,SNPD311,WTPTN311
PSNPCC312,312,SNPD312,WTPTN312
PSNPCC313,313,SNPD313,WTPTN313
PSNPCC314,314,SNPD314,WTPTN314
PSNPCC315,315,SNPD315,WTPTN315
PSNPCC316,316,SNPD316,WTPTN316
PSNPCC317,317,SNPD317,WTPTN317
PSNPCC318,318,SNPD318,WTPTN318
PSNPCC319,319,SNPD319,WTPTN319
PSNPCC320,320,SNPD320,WTPTN320
PSNPCC321,321,SNPD321,WTPTN321
PSNPCC322,322,SNPD322,WTPTN322
PSNPCC323,323,SNPD323,WTPTN323
PSNPCC324,324,SNPD324,WTPTN324
PSNPCC325,325,SNPD325,WTPTN325
PSNPCC326,326,SNPD326,WTPTN326
PSNPCC327,327,SNPD327,WTPTN327
PSNPCC328,328,SNPD328,WTPTN328
PSNPCC329,329,SNPD329,WTPTN329
PSNPCC330,330,SNPD330,WTPTN330
PSNPCC331,331,SNPD331,WTPTN331
PSNPCC332,332,SNPD332,WTPTN332
PSNPCC333,333,SNPD333,WTPTN333
PSNPCC334,334,SNPD334,WTPTN334
PSNPCC335,335,SNPD335,WTPTN335
PSNPCC336,336,SNPD336,WTPTN336
PSNPCC337,337,SNPD337,WTPTN337
PSNPCC338,338,SNPD338,WTPTN338
PSNPCC339,339,SNPD339,WTPTN339
PSNPCC340,340,SNPD340,WTPTN340
PSNPCC341,341,SNPD341,WTPTN341
PSNPCC342,342,SNPD342,WTPTN342
PSNPCC343,343,SNPD343,WTPTN343
PSNPCC344,344,SNPD344,WTPTN344
PSNPCC345,345,SNPD345,WTPTN345
PSNPCC346,346,SNPD346,WTPTN346
PSNPCC347,347,SNPD347,WTPTN347
PSNPCC348,348,SNPD348,WTPTN348
PSNPCC349,349,SNPD349,WTPTN349
PSNPCC350,350,SNPD350,WTPTN350
PSNPCC351,351,SNPD351,WTPTN351
PSNPCC352,352,SNPD352,WTPTN352
PSNPCC353,353,SNPD353,WTPTN353
PSNPCC354,354,SNPD354,WTPTN354
PSNPCC355,355,SNPD355,WTPTN355
PSNPCC356,356,SNPD356,WTPTN356
PSNPCC357,357,SNPD357,WTPTN357
PSNPCC358,358,SNPD358,WTPTN358
PSNPCC359,359,SNPD359,WTPTN359
PSNPCC360,360,SNPD360,WTPTN360
PSNPCC361,361,SNPD361,WTPTN361
PSNPCC362,362,SNPD362,WTPTN362
PSNPCC363,363,SNPD363,WTPTN363
PSNPCC364,364,SNPD364,WTPTN364
PSNPCC365,365,SNPD365,WTPTN365
PSNPCC366,366,SNPD366,WTPTN366
PSNPCC367,367,SNPD367,WTPTN367
PSNPCC368,368,SNPD368,WTPTN368
PSNPCC369,369,SNPD369,WTPTN369
PSNPCC370,370,SNPD370,WTPTN370
PSNPCC371,371,SNPD371,WTPTN371
PSNPCC372,372,SNPD372,WTPTN372
PSNPCC373,373,SNPD373,WTPTN373
PSNPCC374,374,SNPD374,WTPTN374
PSNPCC375,375,SNPD375,WTPTN375
PSNPCC376,376,SNPD376,WTPTN376
PSNPCC377,377,SNPD377,WTPTN377
PSNPCC378,378,SNPD378,WTPTN378
PSNPCC379,379,SNPD379,WTPTN379
PSNPCC380,380,SNPD380,WTPTN380
PSNPCC381,381,SNPD381,WTPTN381
PSNPCC382,382,SNPD382,WTPTN382
PSNPCC383,383,SNPD383,WTPTN383
PSNPCC384,384,SNPD384,WTPTN384
PSNPCC385,385,SNPD385,WTPTN385
PSNPCC386,386,SNPD386,WTPTN386
PSNPCC387,387,SNPD387,WTPTN387
PSNPCC388,388,SNPD388,WTPTN388
PSNPCC389,389,SNPD389,WTPTN389
PSNPCC390,390,SNPD390,WTPTN390
PSNPCC391,391,SNPD391,WTPTN391
PSNPCC392,392,SNPD392,WTPTN392
PSNPCC393,393,SNPD393,WTPTN393
PSNPCC394,394,SNPD394,WTPTN394
PSNPCC395,395,SNPD395,WTPTN395
PSNPCC396,396,SNPD396,WTPTN396
PSNPCC397,397,SNPD397,WTPTN397
PSNPCC398,398,SNPD398,WTPTN398
PSNPCC399,399,SNPD399,WTPTN399
PSNPCC400,400,SNPD400,WTPTN400
PSNPCC401,401,SNPD401,WTPTN401
PSNPCC402,402,SNPD402,WTPTN402
PSNPCC403,403,SNPD403,WTPTN403
PSNPCC404,404,SNPD404,WTPTN404
PSNPCC405,405,SNPD405,WTPTN405
PSNPCC406,406,SNPD406,WTPTN406
PSNPCC407,407,SNPD407,WTPTN407
PSNPCC408,408,SNPD408,WTPTN408
PSNPCC409,409,SNPD409,WTPTN409
PSNPCC410,410,SNPD410,WTPTN410
PSNPCC411,411,SNPD411,WTPTN411
PSNPCC412,412,SNPD412,WTPTN412
